,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BEGIN CH1_DATA,"LNA, H1",,,,,,,,,BEGIN CH1_DATA,"LNA + Post Assy, H1",,,,,,,,,BEGIN CH1_DATA,"LNA, H2",,,,,,,,,BEGIN CH1_DATA,"LNA + Post Assy, H2",,,,,,,,,BEGIN CH1_DATA,"LNA, V1",,,,,,,,,BEGIN CH1_DATA,"LNA + Post Assy, V1",,,,,,,,,BEGIN CH1_DATA,"LNA, V2",,,,,,,,,BEGIN CH1_DATA,"LNA + Post Assy, V2",,,,,,,,,,,,,,,,
18.331875,18331875000,-22.341265,8.0713358,-54.961823,-70.995903,27.162464,-41.829952,-18.526001,53.225731,,18331875000,-30.501406,113.19528,-55.051029,-96.890419,62.988609,-76.950729,-17.206825,-90.836815,,18331875000,-28.656851,81.212067,-56.246262,-170.27603,28.11585,-141.17641,-20.991589,164.85945,,18331875000,-16.454708,92.179893,-52.873764,-117.13422,62.903393,-131.84944,-13.035958,-157.05913,,18331875000,-14.614701,106.17639,-67.997696,14.544038,29.470751,-42.101139,-19.021082,-59.482628,,18331875000,-20.155424,130.47148,-53.889446,-120.86227,62.959084,41.500011,-16.694984,79.849365,,18331875000,-13.408892,156.00729,-65.631493,-173.51088,30.585573,-45.359322,-32.178463,84.017662,,18331875000,-9.5864983,157.56786,-55.381653,-47.062134,65.703362,-139.56801,-15.254254,-118.34026,,68.5,,,,,,,
18.34,18340000000,-23.189344,-0.98319584,-59.524551,121.94974,27.228712,-59.672768,-19.671171,38.662285,,18340000000,-19.16017,91.764389,-55.795193,-96.506363,62.996777,-100.47985,-16.313845,-121.55874,,18340000000,-28.168316,72.111816,-66.373543,87.521996,28.161547,-157.67854,-20.692089,156.91388,,18340000000,-20.7766,56.205116,-63.464096,-119.31156,62.946491,-154.19191,-18.59963,173.69185,,18340000000,-14.193358,89.191528,-71.990173,-91.295296,29.501186,-59.500591,-18.739237,-77.142136,,18340000000,-12.929414,117.54795,-57.708,-163.31041,62.964333,19.115181,-27.167664,161.99458,,18340000000,-13.401427,138.3485,-58.02356,14.702213,30.633707,-62.592457,-32.842266,95.640877,,18340000000,-10.491228,88.366455,-53.734669,-114.87157,65.637039,-161.65875,-10.520085,-175.15407,,68.5,,,,,,,
18.348125,18348125000,-25.293669,-11.735835,-53.80254,-134.83002,27.302485,-77.086189,-20.414774,23.778311,,18348125000,-12.850912,24.215551,-54.304886,-134.51508,63.056465,-123.02789,-16.876345,-159.29617,,18348125000,-28.626358,67.360916,-50.930347,-179.49103,28.208303,-173.69792,-19.982458,144.86784,,18348125000,-17.687805,-17.135172,-57.101643,-149.90956,63.0056,-176.10495,-16.563364,145.51831,,18348125000,-13.811398,74.782059,-58.636589,174.08267,29.50964,-76.260658,-18.536572,-92.708885,,18348125000,-11.555023,96.664398,-58.973286,-150.91415,62.988914,-1.9575393,-18.115637,147.66254,,18348125000,-12.985747,121.22433,-54.745338,-108.96336,30.680279,-79.410286,-33.961876,102.26066,,18348125000,-14.747961,73.91098,-57.899258,-111.15002,65.738777,176.07581,-14.112335,164.93102,,68.5,,,,,,,
18.35625,18356250000,-28.570066,-27.175611,-54.94381,-95.077446,27.3841,-94.896698,-21.36186,7.619329,,18356250000,-18.175442,-5.1810765,-59.360229,-119.24487,63.118492,-146.43524,-17.034847,-158.97194,,18356250000,-27.531738,70.434494,-57.632446,-43.973461,28.256084,169.83493,-19.668535,138.43005,,18356250000,-19.000553,-1.4128592,-57.508579,-93.75296,63.014797,161.37822,-18.577137,158.43892,,18356250000,-13.648854,61.144375,-50.891323,-73.745903,29.5473,-93.655579,-18.077494,-105.27148,,18356250000,-12.083007,103.71515,-53.276569,-90.159897,63.043961,-24.157139,-19.667061,115.46088,,18356250000,-12.898961,105.6748,-61.429626,-85.589279,30.714146,-96.614212,-33.162193,113.56674,,18356250000,-16.050762,72.041924,-58.434174,-93.924065,65.760315,153.24191,-14.646841,167.97493,,68.5,,,,,,,
18.364375,18364375000,-32.20966,-45.815247,-58.41766,-76.824463,27.476965,-112.40533,-21.763433,-12.192624,,18364375000,-20.758896,-16.213633,-57.48119,-90.278114,63.20665,-169.59535,-16.360355,-141.36247,,18364375000,-27.404064,62.830086,-56.896053,-81.576347,28.327124,153.80437,-19.639309,130.40714,,18364375000,-17.087482,10.660568,-52.554359,-39.10556,63.05101,139.45003,-15.410029,-162.17661,,18364375000,-13.703311,45.956066,-54.33363,-28.428221,29.583014,-110.46179,-17.688457,-117.67106,,18364375000,-12.5646,58.691563,-58.844322,-97.810852,63.089855,-45.392368,-22.285501,145.252,,18364375000,-12.726733,89.160751,-49.604023,-61.496429,30.780125,-113.53875,-35.101746,129.10555,,18364375000,-18.851099,57.285793,-53.633121,-88.437096,65.824989,131.0072,-9.599371,169.85619,,68.5,,,,,,,
18.3725,18372500000,-41.225079,-51.794861,-49.425571,-59.9072,27.551565,-130.21494,-22.336521,-30.241516,,18372500000,-23.470747,11.37211,-50.441959,-69.026451,63.233112,167.21736,-9.1515198,-148.8149,,18372500000,-26.296406,55.35881,-45.05978,-51.4781,28.376234,137.55516,-18.928881,125.84464,,18372500000,-24.490156,16.357586,-54.345642,-77.401344,63.110847,117.185,-10.437963,145.26508,,18372500000,-13.680154,30.5676,-48.290867,-64.894196,29.626099,-127.53246,-17.056299,-129.84726,,18372500000,-13.906237,51.927696,-48.546032,-80.520569,63.135807,-67.320366,-13.034906,-41.186085,,18372500000,-12.702296,73.882263,-47.478329,-52.208973,30.803333,-130.42857,-34.058281,138.423,,18372500000,-13.6709,58.561607,-52.968178,-75.112083,65.805359,108.4453,-7.4326797,149.3985,,68.5,,,,,,,
18.380625,18380625000,-39.863064,111.75008,-51.614368,-29.941467,27.600475,-147.84854,-22.729082,-51.448811,,18380625000,-29.330889,129.90913,-64.203117,27.030935,63.307487,143.67632,-18.427429,-135.01939,,18380625000,-25.733881,53.007717,-62.970531,147.83977,28.425039,121.40984,-19.210697,113.58404,,18380625000,-15.79591,54.635006,-52.450516,-8.1814365,63.075668,95.14904,-10.311302,175.24274,,18380625000,-13.711457,15.964749,-53.204979,-10.994048,29.656191,-144.3288,-16.983583,-141.8871,,18380625000,-14.215775,5.9103942,-61.569889,21.787649,63.246258,-88.668701,-16.225376,107.57359,,18380625000,-12.739758,58.250626,-55.031147,34.576591,30.858221,-147.42307,-31.559111,130.51361,,18380625000,-8.0907049,57.77655,-51.77607,1.4748367,65.739738,86.114899,-6.5882397,178.34373,,68.5,,,,,,,
18.38875,18388750000,-31.40374,80.306763,-52.681324,145.92101,27.683447,-165.47343,-23.38682,-69.480721,,18388750000,-16.216164,173.25395,-53.107178,109.11314,63.378536,120.51534,-18.710526,-56.383175,,18388750000,-24.567392,48.44062,-57.31583,77.159286,28.508389,105.1823,-19.337957,108.61269,,18388750000,-19.717493,114.04165,-57.005848,123.63533,63.167034,72.565811,-19.773514,-129.65788,,18388750000,-13.55675,2.3378847,-54.044964,-170.89246,29.725155,-161.29417,-16.356388,-156.98917,,18388750000,-14.254176,18.633001,-61.889584,-88.465935,63.256016,-110.51157,-14.626852,177.49306,,18388750000,-12.596437,42.491741,-59.242561,121.54955,30.906073,-164.25862,-29.290508,136.32524,,18388750000,-12.508289,130.95656,-49.414978,161.19872,65.81739,62.506039,-9.6466541,-86.429749,,68.5,,,,,,,
18.396875,18396875000,-26.233578,76.783539,-54.598274,-78.644661,27.715742,176.81944,-22.811855,-92.946312,,18396875000,-17.754305,-14.493673,-56.108292,-70.157204,63.444447,97.839645,-19.108204,142.27798,,18396875000,-23.719023,40.848934,-55.991817,-98.220009,28.528511,89.064362,-19.182272,99.822632,,18396875000,-27.78359,20.552326,-68.760696,-95.292725,63.234249,50.725914,-20.049923,120.75489,,18396875000,-14.072528,-10.514729,-57.555237,-76.59977,29.724295,-178.27519,-15.986614,-166.02353,,18396875000,-9.1937284,15.262994,-53.301853,-124.06878,63.291012,-131.96268,-13.784344,147.52174,,18396875000,-12.663497,29.396828,-65.734879,-43.201023,30.932884,178.72031,-28.253496,138.774,,18396875000,-12.476758,-41.685135,-52.634148,-74.529137,65.941986,40.873344,-19.19348,131.50848,,68.5,,,,,,,
18.405,18405000000,-23.456539,66.400772,-60.061115,-52.090786,27.772249,159.37611,-22.336597,-107.56541,,18405000000,-25.863848,46.428272,-70.422089,-62.752037,63.46867,74.944916,-19.690132,168.12167,,18405000000,-22.656515,35.354031,-56.617886,32.761066,28.585299,73.102554,-19.468914,92.601624,,18405000000,-17.007504,-35.771358,-55.49242,-13.523471,63.284019,28.872545,-18.378401,141.79236,,18405000000,-14.419596,-24.037899,-71.680435,-132.90454,29.77026,165.06001,-16.049261,-175.16083,,18405000000,-11.505339,-27.216776,-60.417385,-161.40828,63.336288,-153.79849,-16.135607,140.93364,,18405000000,-12.707339,16.155371,-54.356575,25.338087,30.978714,162.05319,-28.166727,132.49741,,18405000000,-9.8942566,18.15007,-61.728233,84.583183,65.901955,18.831728,-16.758987,178.13409,,68.5,,,,,,,
18.413125,18413125000,-21.3232,53.900791,-50.496479,-32.089237,27.795067,141.73613,-21.699236,-122.64078,,18413125000,-22.473946,-11.427451,-57.994083,-34.856983,63.505287,51.827187,-17.764839,166.26758,,18413125000,-22.289248,26.528263,-59.378155,-15.398638,28.626495,56.954342,-19.655924,85.90963,,18413125000,-20.047655,-34.01152,-56.972172,-0.54384339,63.314365,6.8540545,-16.417131,141.71284,,18413125000,-15.01112,-36.744629,-52.634438,-11.700507,29.802967,148.19969,-15.805002,176.05229,,18413125000,-20.47167,-27.159853,-57.793037,36.449169,63.349545,-175.64578,-18.490551,113.82343,,18413125000,-12.932049,2.142911,-52.417736,-36.550972,31.018393,145.06522,-28.143614,135.54607,,18413125000,-21.263546,-33.430096,-55.191082,-65.249367,65.967598,-3.8926201,-14.513411,103.96792,,68.5,,,,,,,
18.42125,18421250000,-19.66778,39.713177,-59.941345,-17.859201,27.835367,124.2877,-21.45306,-138.32285,,18421250000,-18.279459,37.536934,-67.512169,81.390984,63.543964,28.70953,-20.444599,173.80666,,18421250000,-21.248518,18.098392,-55.592415,-69.260658,28.675337,40.945995,-19.672335,78.947853,,18421250000,-19.461758,-15.775835,-58.216717,41.98259,63.374802,-15.24758,-15.198895,138.74702,,18421250000,-15.582794,-51.452778,-56.334229,37.072872,29.840939,131.40364,-15.796717,166.43684,,18421250000,-20.5072,-41.575447,-56.147888,51.003914,63.359707,162.59818,-25.19136,70.309135,,18421250000,-13.394657,-12.496612,-63.442238,120.53057,31.055613,128.29906,-28.364271,120.33287,,18421250000,-10.150517,-49.698761,-50.701992,30.830244,66.025108,-25.805006,-7.6441011,129.37572,,68.5,,,,,,,
18.429375,18429375000,-18.314438,31.213678,-59.808945,-179.52426,27.899349,106.72708,-21.014074,-152.63857,,18429375000,-13.417459,25.042915,-53.130322,91.775421,63.588463,5.9759359,-11.081691,-171.2525,,18429375000,-20.749796,13.382262,-53.197613,-24.787012,28.756102,24.837038,-20.027695,73.130241,,18429375000,-20.24926,4.4260883,-68.333786,53.344467,63.440792,-37.465473,-18.415106,129.76828,,18429375000,-16.73312,-64.678268,-58.151871,44.412754,29.909121,114.54922,-15.670264,157.07919,,18429375000,-15.223994,-80.450706,-58.173626,168.27519,63.457672,141.02953,-12.690682,86.540298,,18429375000,-13.930814,-24.352484,-65.368675,-2.3205695,31.128263,111.45499,-27.928051,123.99136,,18429375000,-12.663851,-18.092607,-63.573517,139.67633,66.011284,-48.050354,-12.067807,164.81021,,68.5,,,,,,,
18.4375,18437500000,-17.436346,19.592386,-52.285561,68.337303,27.913233,89.244865,-20.394934,-164.67599,,18437500000,-15.505747,-12.601402,-53.32336,10.566326,63.692917,-17.463118,-16.589128,84.344292,,18437500000,-20.149286,4.0446424,-50.49313,74.960793,28.784521,8.881197,-20.74441,69.128021,,18437500000,-16.341148,-14.514656,-55.774197,79.429924,63.507828,-59.628952,-14.169731,103.4873,,18437500000,-17.621105,-78.906189,-59.947407,-21.015093,29.943405,97.501335,-15.541945,147.78996,,18437500000,-20.654654,-100.42426,-56.221012,81.772552,63.390884,119.1143,-19.998453,-168.53162,,18437500000,-14.510639,-36.866905,-52.792732,12.882725,31.170483,94.52784,-27.550226,125.6748,,18437500000,-10.417334,-23.037119,-52.775745,128.88596,66.042336,-70.309654,-9.7443295,146.2406,,68.5,,,,,,,
18.445625,18445625000,-16.334185,5.1760278,-53.565342,-17.375856,27.976721,71.930092,-20.415262,-176.5603,,18445625000,-26.240751,62.407372,-53.010124,-99.512527,63.694969,-40.352516,-23.954969,-138.28987,,18445625000,-20.33415,-5.8451996,-49.824669,-53.862282,28.866156,-7.5427394,-21.120516,58.050156,,18445625000,-22.579145,163.72598,-50.403111,-54.548344,63.546013,-82.439789,-25.247568,11.625844,,18445625000,-19.723751,-104.08825,-57.605869,-65.964149,29.994467,81.7519,-15.900902,138.7988,,18445625000,-19.102047,-29.562298,-52.143555,-26.716866,63.390453,99.627602,-13.06418,146.21751,,18445625000,-14.730235,-51.177151,-54.841347,-55.75745,31.16118,77.007828,-28.199966,115.69902,,18445625000,-12.810152,-119.68587,-50.165295,-18.743748,66.022369,-93.796555,-35.384529,-32.792572,,68.5,,,,,,,
18.45375,18453750000,-16.098999,-8.1478329,-51.443344,-92.71344,28.022087,54.513779,-20.138529,171.09663,,18453750000,-18.038986,-2.9752202,-66.968277,-74.124046,63.769485,-63.617981,-28.736919,162.93411,,18453750000,-20.178118,-14.447093,-55.193878,-104.07556,28.923254,-23.286041,-21.78742,50.559284,,18453750000,-26.71633,-82.442772,-57.46833,-5.4557891,63.608501,-104.17127,-19.35976,96.415718,,18453750000,-22.332291,-119.68385,-59.266396,10.708029,30.073481,64.410904,-16.051064,130.06429,,18453750000,-22.607609,-66.740936,-60.249031,-20.6061,63.459789,77.20723,-15.640895,137.748,,18453750000,-17.127224,-66.115761,-66.142105,107.81445,31.322685,61.203884,-29.397293,111.55112,,18453750000,-17.306307,-79.814056,-68.207825,3.1020608,66.092514,-115.21725,-23.910313,137.88353,,68.5,,,,,,,
18.461875,18461875000,-15.660306,-20.937559,-60.384125,-103.73206,28.072948,37.018368,-20.246572,160.68954,,18461875000,-9.9007721,25.476528,-51.029415,-147.93988,63.690102,-86.888893,-14.051549,-96.269089,,18461875000,-20.482174,-25.589035,-50.760956,-58.069389,28.977345,-39.522381,-22.235788,46.777683,,18461875000,-10.7467,-12.006079,-52.393044,-169.42084,63.564838,-126.23441,-14.437297,-178.20332,,18461875000,-24.203991,-141.8727,-73.220627,60.422512,30.141474,47.377659,-16.201761,119.78047,,18461875000,-22.967945,-139.13788,-80.243408,-100.93579,63.495155,55.444366,-17.825529,124.67634,,18461875000,-18.305887,-79.740379,-65.934311,4.5964646,31.370779,44.086559,-29.27738,107.92966,,18461875000,-19.530071,-147.63332,-58.399086,0.37274879,66.139763,-138.08652,-22.73225,65.402077,,68.5,,,,,,,
18.47,18470000000,-15.595253,-34.511097,-68.896408,-127.4927,28.088799,19.760302,-20.14015,148.31996,,18470000000,-22.264059,-70.538155,-56.760727,3.5989594,63.818359,-110.11492,-22.590189,-5.6641188,,18470000000,-19.850752,-36.167915,-51.846703,97.86277,29.003788,-55.487534,-23.474518,45.231712,,18470000000,-38.681915,71.270004,-57.830215,10.378617,63.621693,-149.04208,-22.028841,18.164837,,18470000000,-26.55567,-172.98512,-53.254597,66.553108,30.168024,30.358519,-16.571316,112.78045,,18470000000,-15.838305,-66.883171,-52.552513,-1.7854772,63.551193,34.414097,-9.0700951,130.41386,,18470000000,-19.746254,-94.43306,-58.416382,43.316372,31.417095,26.959446,-29.482473,109.92948,,18470000000,-9.549592,-132.15237,-52.157093,97.925011,66.255219,-160.68904,-10.084086,74.161789,,68.5,,,,,,,
18.478125,18478125000,-15.383687,-48.382622,-53.523762,-157.99129,28.16073,2.3671606,-20.629873,140.38864,,18478125000,-11.565297,-31.894518,-55.432178,-140.13147,63.865036,-132.33447,-14.583961,-179.65965,,18478125000,-20.598261,-47.402523,-51.497696,-104.99792,29.096773,-71.700127,-25.337143,31.960867,,18478125000,-12.74623,-69.848053,-52.467842,-179.00748,63.786327,-170.98587,-11.000367,101.29847,,18478125000,-26.779184,146.66797,-51.023296,-148.63304,30.259401,13.342066,-17.20784,101.0924,,18478125000,-17.807541,125.98119,-56.398788,-163.25873,63.51775,12.156314,-32.431965,27.730202,,18478125000,-21.708069,-112.39516,-55.619648,-165.01201,31.490284,10.039037,-32.165848,110.85379,,18478125000,-14.753345,-83.935539,-57.265469,-148.2794,66.232948,177.51982,-12.142376,131.13478,,68.5,,,,,,,
18.48625,18486250000,-15.171084,-62.311714,-58.308338,-73.500565,28.211033,-14.997222,-20.607481,129.5152,,18486250000,-13.774338,-67.683571,-61.179165,150.54124,63.914215,-155.8512,-21.161089,103.35259,,18486250000,-20.826454,-58.058895,-61.273605,-97.317093,29.150393,-87.824745,-26.01516,32.484989,,18486250000,-18.02537,-24.672382,-55.47242,-47.263165,63.730667,167.05768,-13.945692,167.33888,,18486250000,-27.131819,104.505,-56.999004,18.880787,30.305767,-3.645155,-17.022985,93.879662,,18486250000,-28.092894,155.79758,-61.142773,-25.323915,63.574589,-9.2164145,-16.097218,90.849983,,18486250000,-24.615545,-127.95671,-58.674011,9.4815359,31.538403,-7.0664015,-30.773901,107.30131,,18486250000,-31.056126,-46.983227,-59.224529,-32.145466,66.183853,154.93654,-16.039316,172.93492,,68.5,,,,,,,
18.494375,18494375000,-15.242548,-77.348869,-51.759323,8.186883,28.242254,-32.489689,-20.807673,119.4992,,18494375000,-19.693857,-62.019295,-54.045799,-28.786345,63.857533,-178.94072,-13.891305,-123.14965,,18494375000,-21.287792,-70.229698,-64.839363,26.731466,29.173023,-104.05651,-27.63905,30.156942,,18494375000,-25.334183,-56.577881,-60.609634,14.25273,63.720985,144.41859,-21.854136,159.39467,,18494375000,-24.213707,73.27327,-65.959679,7.4000807,30.313509,-20.841797,-17.899382,84.981522,,18494375000,-26.907246,-9.1155243,-53.993137,27.037014,63.587013,-30.765133,-12.378959,104.09267,,18494375000,-28.820246,-152.10866,-51.555737,38.574852,31.561857,-24.120346,-30.531458,119.34377,,18494375000,-31.803274,91.190491,-59.271015,-14.743606,66.161987,132.34863,-13.578101,-174.7572,,68.5,,,,,,,
18.5025,18502500000,-15.754868,-92.326614,-57.481449,156.01823,28.321171,-49.814262,-21.48489,111.15034,,18502500000,-12.748519,-97.027077,-58.957222,140.72076,63.942844,158.26227,-24.571629,144.15503,,18502500000,-22.963959,-86.152412,-52.248798,-140.11961,29.244123,-120.05234,-30.212503,31.530647,,18502500000,-22.040979,-106.65997,-65.966156,110.59697,63.775558,122.31693,-22.210936,101.74583,,18502500000,-21.901962,51.626961,-58.90612,178.25484,30.355259,-37.627056,-18.434446,77.798325,,18502500000,-19.430031,81.070023,-60.880856,-130.75842,63.598679,-52.162964,-18.215378,108.8754,,18502500000,-31.427895,150.97473,-59.092201,128.93185,31.63105,-41.116734,-31.188087,126.748,,18502500000,-21.785357,105.87067,-61.612061,32.197826,66.209343,109.87399,-14.489714,162.29005,,68.5,,,,,,,
18.510625,18510625000,-15.762055,-109.53623,-59.029198,1.1515431,28.350521,-67.104385,-22.021843,100.41652,,18510625000,-17.351347,-56.130722,-55.169769,-53.816284,63.890888,135.66805,-14.153445,-161.853,,18510625000,-23.513763,-104.05953,-62.651733,6.4517164,29.272448,-136.16811,-30.396217,29.098116,,18510625000,-14.158956,-56.104595,-53.315434,-76.146202,63.765617,100.57787,-13.445644,144.99893,,18510625000,-20.954958,33.906147,-57.451527,-80.974693,30.386806,-54.482815,-19.250708,66.331871,,18510625000,-13.289073,-167.17896,-47.379108,-24.800381,63.715992,-73.946938,-9.3257885,51.363541,,18510625000,-32.079243,98.68821,-58.512299,26.991005,31.654894,-58.133228,-31.372631,128.11353,,18510625000,-14.576268,9.3268909,-54.283024,-23.829689,66.17382,87.700737,-9.9891996,174.9413,,68.5,,,,,,,
18.51875,18518750000,-16.030979,-128.36917,-56.894066,-135.75998,28.443733,-84.611206,-23.250292,90.245033,,18518750000,-10.585558,-134.19588,-55.535419,-178.16182,64.028908,112.55775,-19.778362,111.48109,,18518750000,-24.792543,-123.76359,-59.550652,-153.00424,29.345335,-152.2718,-32.439137,45.765869,,18518750000,-15.869803,-148.63692,-57.249233,-162.30701,63.835709,77.875633,-19.59898,64.02224,,18518750000,-19.641739,16.143883,-62.66721,170.11615,30.443392,-71.476112,-19.952404,56.509449,,18518750000,-12.839359,-3.2395875,-55.446632,154.51849,63.651062,-94.660416,-15.284445,145.14137,,18518750000,-27.787148,63.523323,-78.523827,84.398544,31.710238,-75.1548,-30.515486,132.56358,,18518750000,-16.183472,-130.94975,-54.905548,-114.56698,66.323868,64.743813,-13.386243,109.27291,,68.5,,,,,,,
18.526875,18526875000,-16.152626,-145.3325,-66.331741,110.42184,28.479803,-101.81268,-23.740295,80.1213,,18526875000,-25.597605,-52.822414,-53.270706,20.909754,63.998508,90.24649,-11.944406,-170.08971,,18526875000,-25.216076,-143.73074,-56.270367,-141.97585,29.378744,-168.3311,-32.690678,55.216194,,18526875000,-22.199028,-1.979546,-55.470646,49.319187,63.832569,56.301586,-16.7651,151.65112,,18526875000,-18.831478,-1.5031663,-65.681152,-25.078835,30.453558,-88.274544,-20.644037,46.774281,,18526875000,-18.999563,11.435997,-69.820389,-47.47234,63.687176,-116.46812,-20.062466,90.4767,,18526875000,-25.977837,39.969799,-57.920822,-60.38118,31.737749,-92.152107,-30.792471,137.7908,,18526875000,-21.037216,13.990276,-66.123634,36.079983,66.276672,42.412193,-15.147487,159.13536,,68.5,,,,,,,
18.535,18535000000,-16.167171,-163.57471,-62.551918,-159.00652,28.524094,-119.17648,-25.059324,71.728317,,18535000000,-15.260817,-178.78563,-60.863602,152.14589,63.990845,67.137039,-19.088306,-150.63431,,18535000000,-25.751865,-166.61874,-54.46944,159.93524,29.405792,175.63196,-32.525269,66.221909,,18535000000,-24.848785,-118.84771,-62.036678,2.1677141,63.850819,34.05545,-16.073956,118.49978,,18535000000,-18.116735,-17.330908,-53.2076,-154.48714,30.488344,-105.27274,-22.251492,36.830578,,18535000000,-15.143225,-22.215776,-60.055908,-158.08327,63.724297,-137.81415,-15.988019,124.85895,,18535000000,-24.243504,14.544316,-56.033516,119.96517,31.730957,-108.99589,-28.577505,139.27704,,18535000000,-23.342606,46.628761,-66.552711,-170.39087,66.269348,19.735853,-19.387501,126.06211,,68.5,,,,,,,
18.543125,18543125000,-16.511349,175.78232,-52.877583,-89.429222,28.557175,-136.55087,-26.575361,65.334045,,18543125000,-18.182875,-146.19528,-54.841808,-8.3290014,64.078552,44.278534,-13.379852,148.09901,,18543125000,-26.345352,159.75061,-64.659081,-54.333878,29.421568,159.6004,-32.603558,82.545425,,18543125000,-15.307336,-131.2438,-49.486217,-34.908215,63.906036,11.868521,-9.1101065,89.472061,,18543125000,-17.700211,-32.544262,-53.27396,-110.09592,30.482824,-122.13512,-23.449993,27.785767,,18543125000,-13.38393,-22.769617,-54.530609,-116.21307,63.729267,-159.13036,-16.440641,145.59753,,18543125000,-22.580372,0.83741528,-55.366199,-62.029572,31.755362,-125.99855,-27.750784,143.01178,,18543125000,-23.908279,-65.650635,-58.217346,-35.324749,66.311295,-2.8323805,-14.082641,96.598816,,68.5,,,,,,,
18.55125,18551250000,-16.349371,156.51379,-56.733189,-57.818836,28.620201,-154.14862,-29.054739,54.349659,,18551250000,-13.563085,167.47356,-55.46109,-108.30696,64.094475,21.078524,-19.30238,54.909946,,18551250000,-25.583162,129.9799,-55.764839,-0.75983596,29.474913,143.33398,-31.103504,89.716103,,18551250000,-19.187889,123.18797,-56.049778,-148.18987,63.842361,-10.497414,-24.641296,-64.720108,,18551250000,-17.379387,-49.822021,-60.639839,-83.601425,30.518551,-139.1004,-24.57786,16.0956,,18551250000,-18.332952,-45.683353,-67.265892,8.0155945,63.790234,178.81172,-17.700384,87.85685,,18551250000,-21.778315,-18.109041,-59.363667,126.21105,31.781008,-143.0314,-25.97769,133.88235,,18551250000,-21.203979,-57.05978,-58.1292,-12.553657,66.333038,-25.394073,-12.818124,88.755447,,68.5,,,,,,,
18.559375,18559375000,-16.048008,136.44978,-67.970345,-108.60741,28.667692,-171.40063,-30.712738,48.539238,,18559375000,-17.26318,136.10695,-65.839371,35.370605,64.133354,-1.6149869,-19.05794,164.54889,,18559375000,-23.733757,107.39899,-66.619713,-162.81174,29.511835,127.44756,-28.848434,90.647789,,18559375000,-21.355024,66.575317,-57.310013,109.39578,63.884148,-32.169315,-16.133842,128.65549,,18559375000,-17.400805,-65.464157,-65.306618,-128.50394,30.543766,-156.0009,-26.185553,2.3599491,,18559375000,-18.614559,-31.813358,-54.730495,-42.95549,63.790585,157.35339,-20.584702,123.11089,,18559375000,-21.413774,-31.299603,-57.455162,10.163345,31.810953,-159.95421,-25.948282,134.58414,,18559375000,-18.819298,-122.09332,-51.174297,-50.990028,66.338745,-47.913414,-18.812073,60.257526,,68.5,,,,,,,
18.5675,18567500000,-15.70464,118.47187,-52.396713,-156.07068,28.708082,171.28,-34.297779,43.952774,,18567500000,-11.978283,97.97422,-54.42078,139.40872,64.145081,-24.521872,-17.419008,-162.13898,,18567500000,-22.58407,89.955727,-58.690762,-143.19917,29.549379,111.35854,-27.684406,87.584427,,18567500000,-16.310347,55.735241,-55.323128,133.86575,63.903522,-54.475101,-20.16757,137.53065,,18567500000,-17.278498,-84.588478,-59.058868,166.47031,30.56698,-172.89919,-27.474911,-15.070395,,18567500000,-12.431926,-82.944595,-54.961868,-168.01225,63.851585,135.77478,-15.933517,81.601257,,18567500000,-21.316757,-50.387981,-60.637444,146.1458,31.825966,-176.7128,-25.247637,129.86635,,18567500000,-12.568624,36.561672,-50.181183,175.72897,66.293182,-69.913483,-13.598116,161.58517,,68.5,,,,,,,
18.575625,18575625000,-15.359085,100.98956,-58.537102,-111.65191,28.756844,153.61671,-38.002258,27.261389,,18575625000,-14.329172,66.310852,-57.224037,112.39938,64.180267,-47.500893,-16.203238,-172.12747,,18575625000,-21.214846,71.473648,-55.43869,-4.477695,29.573996,95.131752,-27.267817,82.604568,,18575625000,-11.749204,-1.7667688,-49.864521,115.99113,63.902618,-76.444908,-15.362309,145.99031,,18575625000,-17.315228,-104.02246,-62.323269,18.926424,30.579594,169.9586,-28.656916,-32.317764,,18575625000,-15.698738,-121.13837,-62.756245,135.57904,63.8489,113.937,-19.978481,89.160286,,18575625000,-21.487391,-70.426086,-66.192986,96.242554,31.845459,166.13316,-24.398209,123.68452,,18575625000,-23.012482,-108.55322,-65.099251,-39.739811,66.337898,-92.54129,-14.585794,130.99202,,68.5,,,,,,,
